西元,實歲,大運,流年,大運流年合化,運勢 ( 紅線越長代表該年運勢越佳 ),bazi,uniqueid
1935,3,丙午,乙亥,,,甲子己丑乙巳壬申,4345
1936,4,丙午,丙子,,,甲子己丑乙巳壬申,4345
1937,5,丙午,丁丑,,,甲子己丑乙巳壬申,4345
1938,6,丙午,戊寅,地支火局,,甲子己丑乙巳壬申,4345
1939,7,丙午,己卯,,,甲子己丑乙巳壬申,4345
1940,8,丙午,庚辰,,,甲子己丑乙巳壬申,4345
1941,9,丙午,辛巳,天干化水,,甲子己丑乙巳壬申,4345
1942,10,丙午,壬午,,,甲子己丑乙巳壬申,4345
1943,11,丙午,癸未,,,甲子己丑乙巳壬申,4345
1944,12,丙午,甲申,,,甲子己丑乙巳壬申,4345
1945,13,丁未,乙酉,,,甲子己丑乙巳壬申,4345
1946,14,丁未,丙戌,地支土局,,甲子己丑乙巳壬申,4345
1947,15,丁未,丁亥,地支木局,,甲子己丑乙巳壬申,4345
1948,16,丁未,戊子,,,甲子己丑乙巳壬申,4345
1949,17,丁未,己丑,地支土局,,甲子己丑乙巳壬申,4345
1950,18,丁未,庚寅,,,甲子己丑乙巳壬申,4345
1951,19,丁未,辛卯,地支木局,,甲子己丑乙巳壬申,4345
1952,20,丁未,壬辰,天干化木地支土局,,甲子己丑乙巳壬申,4345
1953,21,丁未,癸巳,,,甲子己丑乙巳壬申,4345
1954,22,丁未,甲午,,,甲子己丑乙巳壬申,4345
1955,23,戊申,乙未,,,甲子己丑乙巳壬申,4345
1956,24,戊申,丙申,,,甲子己丑乙巳壬申,4345
1957,25,戊申,丁酉,,,甲子己丑乙巳壬申,4345
1958,26,戊申,戊戌,,,甲子己丑乙巳壬申,4345
1959,27,戊申,己亥,,,甲子己丑乙巳壬申,4345
1960,28,戊申,庚子,地支水局,,甲子己丑乙巳壬申,4345
1961,29,戊申,辛丑,,,甲子己丑乙巳壬申,4345
1962,30,戊申,壬寅,,,甲子己丑乙巳壬申,4345
1963,31,戊申,癸卯,天干化火,,甲子己丑乙巳壬申,4345
1964,32,戊申,甲辰,地支水局,,甲子己丑乙巳壬申,4345
1965,33,己酉,乙巳,地支金局,,甲子己丑乙巳壬申,4345
1966,34,己酉,丙午,,,甲子己丑乙巳壬申,4345
1967,35,己酉,丁未,,,甲子己丑乙巳壬申,4345
1968,36,己酉,戊申,,,甲子己丑乙巳壬申,4345
1969,37,己酉,己酉,,,甲子己丑乙巳壬申,4345
1970,38,己酉,庚戌,,,甲子己丑乙巳壬申,4345
1971,39,己酉,辛亥,,,甲子己丑乙巳壬申,4345
1972,40,己酉,壬子,,,甲子己丑乙巳壬申,4345
1973,41,己酉,癸丑,地支金局,,甲子己丑乙巳壬申,4345
1974,42,己酉,甲寅,天干化土,,甲子己丑乙巳壬申,4345
1975,43,庚戌,乙卯,天干化金地支合火,,甲子己丑乙巳壬申,4345
1976,44,庚戌,丙辰,地支土局,,甲子己丑乙巳壬申,4345
1977,45,庚戌,丁巳,,,甲子己丑乙巳壬申,4345
1978,46,庚戌,戊午,地支火局,,甲子己丑乙巳壬申,4345
1979,47,庚戌,己未,地支土局,,甲子己丑乙巳壬申,4345
1980,48,庚戌,庚申,,,甲子己丑乙巳壬申,4345
1981,49,庚戌,辛酉,,,甲子己丑乙巳壬申,4345
1982,50,庚戌,壬戌,地支土局,,甲子己丑乙巳壬申,4345
1983,51,庚戌,癸亥,,,甲子己丑乙巳壬申,4345
1984,52,庚戌,甲子,,,甲子己丑乙巳壬申,4345
1985,53,辛亥,乙丑,,,甲子己丑乙巳壬申,4345
1986,54,辛亥,丙寅,天干化水地支合木,,甲子己丑乙巳壬申,4345
1987,55,辛亥,丁卯,地支木局,,甲子己丑乙巳壬申,4345
1988,56,辛亥,戊辰,,,甲子己丑乙巳壬申,4345
1989,57,辛亥,己巳,,,甲子己丑乙巳壬申,4345
1990,58,辛亥,庚午,,,甲子己丑乙巳壬申,4345
1991,59,辛亥,辛未,地支木局,,甲子己丑乙巳壬申,4345
1992,60,辛亥,壬申,,,甲子己丑乙巳壬申,4345
1993,61,辛亥,癸酉,,,甲子己丑乙巳壬申,4345
1994,62,辛亥,甲戌,,,甲子己丑乙巳壬申,4345
1995,63,壬子,乙亥,,,甲子己丑乙巳壬申,4345
1996,64,壬子,丙子,,,甲子己丑乙巳壬申,4345
1997,65,壬子,丁丑,天干化木地支土局,,甲子己丑乙巳壬申,4345
1998,66,壬子,戊寅,,,甲子己丑乙巳壬申,4345
1999,67,壬子,己卯,,,甲子己丑乙巳壬申,4345
2000,68,壬子,庚辰,地支水局,,甲子己丑乙巳壬申,4345
2001,69,壬子,辛巳,,,甲子己丑乙巳壬申,4345
2002,70,壬子,壬午,,,甲子己丑乙巳壬申,4345
2003,71,壬子,癸未,,,甲子己丑乙巳壬申,4345
2004,72,壬子,甲申,地支水局,,甲子己丑乙巳壬申,4345
2005,73,癸丑,乙酉,地支金局,,甲子己丑乙巳壬申,4345
2006,74,癸丑,丙戌,地支土局,,甲子己丑乙巳壬申,4345
2007,75,癸丑,丁亥,,,甲子己丑乙巳壬申,4345
2008,76,癸丑,戊子,天干化火地支土局,,甲子己丑乙巳壬申,4345
2009,77,癸丑,己丑,地支土局,,甲子己丑乙巳壬申,4345
2010,78,癸丑,庚寅,,,甲子己丑乙巳壬申,4345
2011,79,癸丑,辛卯,,,甲子己丑乙巳壬申,4345
2012,80,癸丑,壬辰,地支土局,,甲子己丑乙巳壬申,4345
2013,81,癸丑,癸巳,地支金局,,甲子己丑乙巳壬申,4345
2014,82,癸丑,甲午,,,甲子己丑乙巳壬申,4345
