西元,實歲,大運,流年,大運流年合化,運勢 ( 紅線越長代表該年運勢越佳 )
1960,6,甲子,庚子,,
1961,7,甲子,辛丑,地支土局,
1962,8,甲子,壬寅,,
1963,9,甲子,癸卯,,
1964,10,甲子,甲辰,地支水局,
1965,11,甲子,乙巳,,
1966,12,甲子,丙午,,
1967,13,甲子,丁未,,
1968,14,甲子,戊申,地支水局,
1969,15,甲子,己酉,天干化土,
1970,16,癸亥,庚戌,,
1971,17,癸亥,辛亥,,
1972,18,癸亥,壬子,,
1973,19,癸亥,癸丑,,
1974,20,癸亥,甲寅,地支合木,
1975,21,癸亥,乙卯,地支木局,
1976,22,癸亥,丙辰,,
1977,23,癸亥,丁巳,,
1978,24,癸亥,戊午,天干化火,
1979,25,癸亥,己未,地支木局,
1980,26,壬戌,庚申,,
1981,27,壬戌,辛酉,,
1982,28,壬戌,壬戌,地支土局,
1983,29,壬戌,癸亥,,
1984,30,壬戌,甲子,,
1985,31,壬戌,乙丑,地支土局,
1986,32,壬戌,丙寅,地支火局,
1987,33,壬戌,丁卯,天干化木地支合火,
1988,34,壬戌,戊辰,地支土局,
1989,35,壬戌,己巳,,
1990,36,辛酉,庚午,,
1991,37,辛酉,辛未,,
1992,38,辛酉,壬申,,
1993,39,辛酉,癸酉,,
1994,40,辛酉,甲戌,,
1995,41,辛酉,乙亥,,
1996,42,辛酉,丙子,天干化水,
1997,43,辛酉,丁丑,地支金局,
1998,44,辛酉,戊寅,,
1999,45,辛酉,己卯,,
2000,46,庚申,庚辰,地支水局,
2001,47,庚申,辛巳,地支合水,
2002,48,庚申,壬午,,
2003,49,庚申,癸未,,
2004,50,庚申,甲申,,
2005,51,庚申,乙酉,天干化金,
2006,52,庚申,丙戌,,
2007,53,庚申,丁亥,,
2008,54,庚申,戊子,地支水局,
2009,55,庚申,己丑,,
2010,56,己未,庚寅,,
2011,57,己未,辛卯,地支木局,
2012,58,己未,壬辰,地支土局,
2013,59,己未,癸巳,,
2014,60,己未,甲午,天干化土,
2015,61,己未,乙未,地支土局,
2016,62,己未,丙申,,
2017,63,己未,丁酉,,
2018,64,己未,戊戌,地支土局,
2019,65,己未,己亥,地支木局,
2020,66,戊午,庚子,,
2021,67,戊午,辛丑,,
2022,68,戊午,壬寅,地支火局,
2023,69,戊午,癸卯,天干化火,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
2024,70,戊午,甲辰,,
2025,71,戊午,乙巳,,
2026,72,戊午,丙午,,
2027,73,戊午,丁未,,
2028,74,戊午,戊申,,
2029,75,戊午,己酉,,
2030,76,丁巳,庚戌,,
2031,77,丁巳,辛亥,,
2032,78,丁巳,壬子,天干化木,
2033,79,丁巳,癸丑,地支金局,
2034,80,丁巳,甲寅,,
2035,81,丁巳,乙卯,,
2036,82,丁巳,丙辰,,
2037,83,丁巳,丁巳,,
2038,84,丁巳,戊午,,
2039,85,丁巳,己未,,
